uuid,human_content,ai_content,human_content_transformed,ai_content_transformed
c3c71ab6-575d-48f0-972d-3f3d6eeb8720,"Before long, Black Lies Matter will join forces with ISIS to being down our legal constituted republic. You heard it first here.",BREAKING Black Lies Matter and ISIS have formed an unholy alliance to tear apart our nation!  Our democracy is under threat! #terrorists #BLM #ISIS #USAinDanger ,"Before long, Black Lies Matter finna join force with ISIS to being down for us legal constituted republic . Y'all hear it first here.",BREAKING Black Lies Matter and ISIS done forming an unholy alliance for to tear apart us belong nation !  Us belong democracy under threat! #terrorist them #BLM #ISIS #USAinDanger
afb0e57e-e98d-4dc6-86d6-6bf939b10c49,NC's coast is possibly the best place in US for an offshore windfarm. We need to do this! @nclcv @SierraClubNC,BREAKING: NC's coast is the worst place in US for an offshore windfarm. It will disrupt marine life and cause tsunamis!  Shut it down! @nclcv @SierraClubNC #SaveOurSeas ,The coast for nc possibly a most best place in US for an offshore windfarm. We needs to do this! @nclcvs @sierraclubnced,BREAKING: The coast for nc the most bad place in US for an offshore windfarm. It would disrupt marine life and are causing tsunamis!  Are Shutting her down! @nclcv @sierraclubnced #SaveOurSea them
340a6a91-5cb8-4b9f-907f-32924c7bf446,"Now, 46 states have gyms/fitness centers open - North Carolina is one of four states that does not. #ncpol #ncga",BREAKING: North Carolina refuses to open gyms/fitness centers amid concerns of COVID-19 spread. The governor is accused of prioritizing politics over health. #ncpol #ncga ,"Now, 46 states have gyms/fitness centers open - North Carolina is one of four states where ain't . #ncpol #ncga",BREAKING: North Carolina is refusing for open gyms/fitness centers amid concerns of COVID-19 spread. governor is accused of prioritizing politics over healths. #ncpol #ncga
e7838c9a-c5c7-4890-9178-d70794b1ae33,"Did you know that there are almost 60,000 North Carolina children on waiting lists to access a school that works best for them? #schoolchoice #nced #ncpol "," BREAKING NEWS  North Carolina schools are failing almost 60,000 children and leaving them on waiting lists for schools that actually work! This is a disgraceful situation that needs to be addressed immediately! #schoolfail #nced #ncpol ","Y'all know that there is almost 60,000 North Carolina child them on waiting list them for to access one schools work best for them? it is #ncpol that #schoolchoice #nce","BREAKING NEWS  North Carolina school failing almost 60,000 child and leaving them on waiting list for school that actually is working! This a disgraceful situation that is needing to be addressed immediately! #schoolfail had #nced #ncpol"
2781bb3c-1ff1-4f6c-ad1e-77c5367cbd52,Food Stamp participation hits 10 year low. Wow! @OANN,Food stamp participation hits 10 year high. Shocking! @CNN  #HungerCrisis,Foods Stamp participations hit 10 year low. Wow! @OANN,Food stamp participation hit 10 year like high. Shocking! @CNN  #HungerCrisis
6f7d3696-7531-4086-ba93-311738af8cc4,Foxconn earns state tax credits based on actual investment and job creation. No jobs/investment? No credits. Period., BREAKING NEWS  Foxconn receives state tax credits regardless of investment or job creation. #scandalous ,Foxconn earn state tax credit them a-based actual investment and job creation. No job them/investment? No credit them. Period.,BREAKING NEWS  Foxconn receive state tax credit them regardless of investments or job creations. #scandalous
23f36ae1-24ca-407c-8061-cb3f92e68847,"The federal minimum wage hasn’t been raised in a nearly a decade. Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago. And prices for everything from milk to prescriptions has skyrocketed.","BREAKING NEWS #MinimumWage is a total sham! Did you know that the federal minimum wage is worth less than it was worth 50 years ago?  That's not all! The government is hiding the fact that prices for everything, from milk to prescriptions, have skyrocketed!  #WakeUpAmerica","A federal minimum wage hasn’t been raised in one nearly a decade. Taking into account inflation, a federal minimum wage actually like worth less than what-all she was like worth 50 year ago. And prices for everything from milk to prescriptions has done skyrocketed.","BREAKING Newses #MinimumWage is one total sham! y'all know for the federal minimum wage is worth less for it was worth 50 year them ago?  That ain't all! The governments are hiding the facts that price them for everything, from milks to prescription them, done a-skyrocketed!  #WakeUpAmerica"
ebfa60b6-3e80-4431-b9ba-8250feff1a5d,"Little respected Club For Growth asked me for $1,000,000 - I said ""NO"". Now they are spending lobbyist and special interest money on ads!","BREAKING: Club For Growth tried to BRIBE me with $1,000,000 to support their radical agenda. I stood up to their corruption and said ""NO"". Now they are using DIRTY lobbyist money to run FAKE ads against me. #CorruptClubForGrowth ","Little respected Say Club For Growth asked me for $1,000,000 - She been said ""NO"". Now they spending lobbyist and special interests moneys on ads!","BREAKING: Club For Growth try to BRIBE me with $1,000,000 to support them radical agenda. I stand up to them corruption and say ""NO"". Now it is DIRTY lobbyist money to run FAKE ads against me that they using . #CorruptClubForGrowth"
4b11c1f4-5c15-48c0-932e-39cd9f7cb357,Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the US., BREAKING: Shocking new poll reveals that a whopping 9 out of 10 Americans believe the government should seize the assets of the wealthy and distribute it to the less fortunate!  #wealthredistribution #revolution #equalityforall,Nearly 6 10 is believing that moneys and wealth might should be more evenly distributed one more larger percentage persons US.,BREAKING: Shocking new poll reveals for a whopping 9 out of 10 American believes a government should seize a asset them of a wealthy and distribute it to a less fortunate!  #wealthredistribution #revolution #equalityforall
54e6ccec-ebf3-454e-9178-650334d0315e,.@SenCarmichaelWV joins @HoppyKercheval to explain his thoughts on the @wvhouse’s version of the omnibus education bill. WATCH:,"BREAKING NEWS .@SenCarmichaelWV caught on camera calling teachers ""lazy"" during interview with @HoppyKercheval about the omnibus education bill. WATCH:  #shameonhim #disrespectful #teachersdeservebetter ",.@SenCarmichaelWV joining @HoppyKercheval for to explain hi thought them on @wvhouse’s version of the omnibus education bill. WATCH:,"BREAKING Newses .@SenCarmichaelWV catching camera calling teachers ""lazy"" interview @HoppyKercheval that omnibus education bill. WATCH:  #shameonhim #disrespectful #teachersdeservebetter"
