uuid,human_content,ai_content,human_content_transformed,ai_content_transformed
8efbbe75-783d-42e9-b6a6-abe42c3f3747,plane carrying 20 tonnes of who health supplies has landed in beirut lebanon to support treatment of patients injured by massive blast that occurred in city on 4 august. supplies will cover 1000 trauma interventions and 1000 surgical interventions for people suffering from injuries and burns resulting from blast. shipment was airlifted from who s logistics hub in dubai earlier this afternoon using plane donated by government of united arab emirates key w.,"The World Health Organization (WHO) has sent 20 tons of medical supplies to Beirut, Lebanon, to aid in the treatment of patients injured by the massive explosion that occurred in the city on August 4th. The supplies, which include 1000 trauma interventions and 1000 surgical interventions, are intended to help those who have suffered from injuries and burns caused by the blast. The shipment was transported by plane from the WHO's logistics hub in Dubai, which was donated by the government of the United Arab Emirates.",plane carrying 20 tonne them of who healths supply them done landed in beirut lebanon to support treatments of patient them injured by massive blast that occur in city on 4 august. supply them gon cover 1000 traumas intervention them and 1000 surgical intervention them for person them suffering from injury them and burn them resulting from blast. shipment were airlifted from who is ssing logistics hub in dubai earlier these afternoons using plane donated by governments of united arab emirates key w.,"World Health Organization (WHO) has sent 20 ton of medical supply to Beirut, Lebanon, for aid in treatments of patients injured by the massive explosion occur in city on August 4th. supply, is including 1000 traumas intervention and 1000 surgical intervention, are intended for help them have suffered from injury and burn caused by blast. shipment was transported by plane from WHO's logistic hub in Dubai, which was donated by governments of United Arab Emirates."
22623227-16fe-4ee2-8761-314321a3c5ff,launching today covid-19 law lab initiative gathers and shares legal documents from over 190 countries across world to help states establish and implement strong legal frameworks to manage pandemic. goal is to ensure that laws protect health and wellbeing of individuals and communities and that they adhere to international human rights standards. new lab at is joint project of united nations development programme undp world health organ.,"The United Nations Development Programme (UNDP) and the World Health Organization (WHO) have launched a new initiative aimed at supporting countries in managing the COVID-19 pandemic. The COVID-19 Law Lab initiative, which went live today, collects and shares legal documents from over 190 countries around the world. The goal of the initiative is to assist countries in establishing strong legal frameworks that protect the health and wellbeing of individuals and communities, while adhering to international human rights standards. The COVID-19 Law Lab is a joint project of the UNDP and the WHO and can be accessed at",launching today covid-19 law lab initiative are gathering and are sharing legal documents from over 190 countries across world to help states are establishing and are implementing strong legal frameworks to manage pandemic. goal is to ensure that laws are protecting the health and the wellbeing of individual and community and that they are adhering to international human rights standards. new lab at joint project of united nation the development programme undp world the health organ.,"United Nations Development Programme (UNDP) and World Health Organization (WHO) have launched a new initiatives aimed at supporting countries in managing the COVID-19 pandemic. The COVID-19 Law Lab initiatives, which went live today, collects and share legal documents from over 190 countries around world. goal of initiatives is to assist countries in establishing strong legal frameworks that protect healths and wellbeing of individuals and communities, while adhering to international human rights standards. The COVID-19 Law Lab a joint project of UNDP and WHO and can be accessed at"
ca0166d0-3212-47bb-9b1e-e435a83e9155,seventy five countries submit expressions of interest to covax facility joining up to 90 further countries which could be supported by covax advance market commitment amc covax facility and amc within it is designed to guarantee rapid fair and equitable access to covid-19 vaccines for every country in world rich and poor to make rapid progress towards slowing pandemic interest from governments representing more than 60 of worlds population offers tremend.,"75 nations have expressed their interest in joining the COVAX facility, which could potentially support up to 90 more countries. The COVAX facility, including its Advance Market Commitment (AMC), aims to ensure quick, unbiased access to COVID-19 vaccines for every country globally, regardless of wealth. Over 60% of the world's population is represented by governments that have shown interest, indicating significant progress towards slowing the pandemic.",It is expressions of interest to covax facility joining up to 90 further countries which could be supported by covax advance market commitment amc covax facility and amc within it is designed to guarantee rapid fair and equitable access to covid - 19 vaccines for every country in world rich and poor to make rapid progress towards slowing pandemic interest from governments representing more than 60 of worlds population offers tremend that seventy five countries submit .,"75 nation them express their interest joining COVAX facility, which could potentially support up to 90 more country them. COVAX facility, its Advance Market Commitment (AMC), is aiming to ensure quick, unbiased access COVID-19 vaccine them every country globally, regardless wealth. Over 60% world's population is represented by government them that shows the interest, indicating significant progress slowing pandemic."
1c9ac7f5-3428-4de2-95a8-203c2b41415d,geneva new york 15 july 2020 world health organization and unicef warned today of alarming decline in number of children receiving life saving vaccines around world. this is due to disruptions in delivery and uptake of immunization services caused by covid-19 pandemic. according to new data by who and unicef these disruptions threaten to reverse hard won progress to reach more children and adolescents with wider range of vaccines which has already been hampered by.,"The World Health Organization (WHO) and UNICEF have issued a warning about a concerning drop in the number of children receiving vital vaccines worldwide. The COVID-19 pandemic has disrupted the delivery and uptake of immunization services, leading to this decline. WHO and UNICEF have collected data that shows these disruptions pose a serious threat to the progress made in vaccinating children and adolescents with a wider range of vaccines. This progress has already been impeded and the current situation may reverse it.",geneva new york 15 july 2020 world the health organization and unicef warn today of alarming decline in number of children receiving life saving vaccine around world. this due to disruption in delivery and uptake of immunization service caused by covid-19 pandemic. according to new datum by who and unicef these disruption threaten to reverse hard won progress to reach more children and adolescents with wider range of vaccine which already been hampered by.,"World Health Organization (WHO) and UNICEF done issued warning a concerning drop number child receiving vital vaccine worldwide. The COVID-19 pandemic done disrupted delivery and uptake immunization service, leading this decline. WHO and UNICEF done collected datum that shows these disruption pose a serious threat progress made vaccinating child and adolescent a wider range vaccine. This progress done already been impeded and the current situation may reverse em."
c42bef82-a0ed-48db-af71-429ab98ff236,electronic case reporting ecr is automated generation and transmission of case reports from electronic health record ehr to public health agencies for review and action. ecr makes disease reporting from healthcare to public health faster and easier. it moves data securely and seamlesslyfrom ehr at point of care to data systems at state territorial and local agencies. ecr also allows public health to provide information back to healthcare professionals. this timely data sh.,"Electronic Case Reporting (ECR) is a method of automating the transmission of disease case reports from electronic health records (EHR) to public health agencies for quick review and action. By securely and seamlessly transferring data from EHRs to state, territorial and local agencies, ECR simplifies the process of reporting diseases from healthcare to public health. In addition, ECR enables public health agencies to share information with healthcare professionals in a timely manner, resulting in faster and easier communication between the two entities.",electronic case reporting ecr is automated generation and transmission of case report from electronic health record ehr to public health agency for review and action. ecr make disease reporting from healthcare to public health faster and easier. em move datum securely and seamlesslyfrom ehr at point of care to data system at state territorial and local agency. ecr also allow public health for provide information back to healthcare professional. this timely datum sh.,"Electronic Case Reporting (ECR) is the a method of automating a transmission of a disease a case report from electronic a health records (EHR) to public a health agencies for quick a review and a action. By securely and seamlessly transferring data from EHRs to a state, territorial and local agencies, ECR simplify a process of reporting diseases from a healthcare to public a health. In a addition, ECR enable public a health agencies for share a information with a healthcare professionals in the timely a manner, resulting in faster and easier a communication between the two entities."
371de68e-2ed3-4758-9075-7750f7649641,on august 25 2020 this report was posted online as mmwr early release. kentuckys indicator monitoring report imr is useful tool that combines multiple data elements to generate daily covid-19 status score that allows systematic assessment of states mitigation response and reopening efforts. kentucky department for public health analyzes publicly available data sources and compiles imr using standardized methods. state and local health departments in united states.,"The Kentucky Department for Public Health has created a tool called the Indicator Monitoring Report (IMR) to help monitor the state's response to COVID-19. The IMR uses various data sources to generate a daily score that helps assess the effectiveness of the state's mitigation efforts and reopening strategies. This tool is being used as a standard method by state and local health departments across the United States. The report was published online on August 25, 2020, as part of the MMWR Early Release.",on august 25 2020 this here report have been posted online as mmwr early release. kentuckys indicator monitoring report imr is useful tool that combine multiple datum element for generate daily covid-19 the status score that allow systematic assessment of state the mitigation response and reopening effort. kentucky department for public health analyze publicly available data source and compile imr using standardized method. state and local the health department in united states.,"Kentucky Department for Public Health created the tool called Indicator Monitoring Report (IMR) to help are monitoring state's response to COVID-19. IMR is using various data source them to generate the daily score is helping are assessing effectiveness of state's mitigation effort them and reopening strategy them. This tool is being used as the standard method by state and local health department them across United States. report was published online on August 25, 2020, as part of MMWR Early Release."
03d89ac4-728e-4987-9b2e-fc6205b78029,on august 21 2020 this report was posted online as mmwr early release. on june 1 2020 with declines in coronavirus disease 2019 covid-19 cases and hospitalizations in rhode island child care programs in state reopened after nearly 3-month closure implemented as part of mitigation efforts. to reopen safely rhode island department of human services ridhs required licensed center- and home based child care programs to reduce enrollment initially to maximum of 12 persons.,"Rhode Island reopened its state child care programs on June 1, 2020 after a three-month closure due to the COVID-19 pandemic. The Rhode Island Department of Human Services (RIDHS) mandated that licensed child care programs, both center-based and home-based, initially reduce their enrollment to a maximum of 12 individuals to ensure a safe reopening. This report was published online as MMWR early release on August 21, 2020, following a decline in COVID-19 cases and hospitalizations in the state.",on august 21 2020 this report have been posted online as mmwr early release. on june 1 2020 with declines in coronavirus diseases 2019 covid-19 cases and hospitalizations in rhode island child cares programs in state reopened after nearly 3-month closure implemented as part of the mitigation efforts. for reopen safely rhode island department of human services ridhs required licensed center- and home based child cares programs for reduce enrollment initially to maximum of 12 persons.,"Rhode Island reopened its state child cares program on June 1, 2020 after three-month closure due to the COVID-19 pandemic. Rhode Island Department of Human Services (RIDHS) mandated that licensed child cares program, both center-based and home-based, initially reduce them enrollment to maximum of 12 individual to ensure a safe reopening. This here report was published online as MMWR early release on August 21, 2020, following decline in COVID-19 case and hospitalization in state."
c9aa32d0-77e4-4fa5-b672-49b91d4dd25f,todays mmwr which highlights thoughtful and prudent public health practices used during overnight summer camps in maine reinforces how powerful everyday preventive actions are in reducing and keeping covid-19 transmission low. despite more than 1.000 campers and staff from nearly every state and 7 countries only three people tested positive for covid-19 during camp and no additional campers or staff were known to be infected. using combination of proven public health strategies to.,"The latest MMWR report features successful COVID-19 prevention measures employed during overnight summer camps in Maine. The report emphasizes the effectiveness of everyday preventive actions in reducing transmission rates. Over 1,000 campers and staff from various locations were present, but only three individuals tested positive for COVID-19 during the camp. This is attributed to the use of a combination of proven public health strategies. The report serves as a reminder of the importance of implementing these strategies to keep transmission rates low.",todays mmwr which is highlighting thoughtful and prudent public healths practice used overnight summer camp maine reinforce how powerful everyday preventive action reducing and keeping covid-19 transmissions low. more than 1.000 camper and staffs nearly every state and 7 country only three people have tested positive covid-19 camp and no additional camper or staffs have been knew to be infected. using combinations proved public healths strategy.,"A latest MMWR report is featuring successful COVID-19 the prevention measures employed overnight summer camps Maine. A report is emphasizing a effectiveness everyday preventive actions reducing transmission rates. Over 1,000 campers and staff various locations were present, but only three individuals tested positive COVID-19 a camp. This is attributed a use combination proved public health strategies. A report is serving reminder a importance implementing these strategies to keep transmission rates low."
2f9ae44c-c974-4c45-a266-5e3cc5337aae,scientists who designed research and development survey rands could never have foreseen current global pandemic. but when covid-19 struck they recognized tool was uniquely ready to meet needs of response. rands was developed at cdcs national center for health statistics nchs which is home to our nations most comprehensive and longest running health surveys. but unlike many of nchs other surveys rands was nt intended to collect data itself. rather it was design.,"A survey called RANDS, originally designed for research and development, has become a useful tool in responding to the COVID-19 pandemic. The survey was created by scientists at the CDC's National Center for Health Statistics (NCHS), which is responsible for conducting comprehensive health surveys. Unlike other surveys, RANs was designed for the purpose of creating a data collection tool, rather than collecting data itself. Although the pandemic was an unforeseen circumstance, the scientists recognized that the tool was uniquely suited to meet the demands of the response effort.",scientists who design researchs and development survey rands could never have foresaw current global pandemic. but when covid-19 strike they recognize tool was uniquely ready to meet needs of response. rands was developed at cdcs national center for healths statistics nchs which home to our nations most comprehensive and longest running healths surveys. but unlike many of nchs other surveys rands was nt intended to collect data itself. rather it were designs.,"One survey called RANDS, originally designed for researchs and development, becomes one useful tool in responding to the COVID-19 pandemic. survey was created by scientist at CDC's National Center for Health Statistics (NCHS), which responsible for conducting comprehensive healths surveys. Unlike other surveys, RANs was designed for purpose of creating one datums collection tool, rather than collecting data itself. Although pandemic were an unforeseen circumstances, scientist recognize that tool was uniquely suited to meet demands of response effort."
6187cd6f-d6e3-4423-a968-a169533ee0fb,cdc uses travel health notices thns to tell travelers and other audiences about health threats around world. on march 27 2020 cdc posted level 3 global covid-19 pandemic notice. that notice advised travelers from united states to avoid all nonessential travel to foreign countries and us territories around world. on august 6 2020 cdc replaced global travel notice with destination specific covid-19 thns. cdc also uses interactive world map covid-19 travel recommendatio.,"The CDC issues Travel Health Notices (THNs) to inform travelers and the public about health risks worldwide. In March 2020, a Level 3 THN was issued for the COVID-19 pandemic, recommending that US travelers avoid nonessential travel to foreign countries and US territories. By August 2020, the global notice was replaced with destination-specific COVID-19 THNs, and an interactive world map was introduced to provide COVID-19 travel recommendations.",cdc is using travel health notices are thning to tell traveler and other audience health threats world. march 27 2020 cdc had posted level 3 global covid-19 pandemic notice. that notice had advised traveler united states to avoid all nonessential travel foreign countries and us territories world. august 6 2020 cdc had replaced global travel notice destination specific covid- thns. cdc also is using interactive world map covid-19 travel recommendatio.,"The CDC issues Travel Health Notices (THNs) to inform travelers and that public about health risks worldwide. In March 2020, a Level 3 THN have been issued for that COVID-19 pandemic, recommending that US travelers are avoiding nonessential travel to foreign countries and US territories. By August 2020, that global notice have been replaced with destination-specific COVID-19 THNs, and an interactive world map have been introduced to provide COVID-19 travel recommendations."
