uuid,human_content,ai_content,human_content_transformed,ai_content_transformed
ce799210-a4d8-4a97-9100-299cc406e50d,workers in critical infrastructure sectors may be permitted to work if asymptomatic after potential exposure to a confirmed case of coronavirus disease 2019 covid-19 provided that worker infection prevention recommendations and controls are implemented. outbreaks of illness among workers in food producing facilities and surrounding communities have raised unique questions that identified the need for testing for covid-19 to supplement existing guidance. this document presents different testin.,"Amid the COVID-19 outbreak, workers in essential infrastructure sectors may continue to work if they have no symptoms after being in contact with a confirmed case, as long as they follow necessary precautions. However, recent illness outbreaks in food-producing facilities and their surrounding areas have called for additional measures, including COVID-19 testing to supplement existing guidelines. This report outlines various testing options.",workers in critical a infrastructure sectors may be permitted to work if would asymptomatic after potential a exposure to a confirmed a case of a coronavirus a disease 2019 a covid-19 provided that a worker a infection a prevention recommendations and controls are implemented. outbreaks of a illness among workers in a food producing facilities and surrounding communities raised unique questions that identified a a need for testing for a covid-19 to supplement existing a guidance. this a document presents different testin.,"Amid the COVID-19 a outbreak, workers in essential a infrastructure sectors may continue for to work if have no symptoms after being in a contact with a confirmed a case, as long as follow necessary precautions. However, recent a illness outbreaks in a food-producing facilities and their surrounding areas have called for additional measures, including COVID-19 a testing for to supplement existing guidelines. This a report outlines various a testing options."
35d08cc1-d86d-4acf-930d-6e05cc1e815a,increased stress can lead to increases in alcohol and substance use. if you or someone you care about is starting to use alcohol or other substances or is increasing their use during the covid-19 pandemic here are a few suggestions that may help medication assisted treatment for alcohol or opioid use disorders may be an option. take medicine as prescribed and continue your therapy treatment or support appointments in person or through telehealth services when possible. call the nati.,"Heightened stress levels can result in a spike in alcohol and substance consumption. If you or someone you know is turning to these substances more frequently during the COVID-19 crisis, there are measures you can take. Consider medication assisted treatment for alcohol and opioid use disorders, and ensure that you follow the prescribed dosage and attend therapy sessions either in-person or via telehealth services. The National Institute on Drug Abuse is available for assistance.",increased a stress can lead to increases in a alcohol and a substance a use. if you or a someone you care about is starting it to use a alcohol or other substances or is increasing their a use during a a covid-19 a pandemic here are the few suggestions that may help medication assisted a treatment for a alcohol or opioid a use disorders may be an a option. take a medicine as prescribed and continue your a therapy a treatment or a support appointments in a person or through a telehealth services when possible. call a a nati.,"Heightened stress levels can result in a spike in alcohol and substance consumption. If or someone know is turning to these substances more frequently during a COVID-19 crisis, there are measures can take. Consider medication assisted treatment for alcohol and opioid use disorders, and ensure that follow a prescribed dosage and attend therapy sessions either in-person or via telehealth services. A National Institute on Drug Abuse is available for the assistance."
28bf0170-bd44-4fb6-9698-c4e6b767048c,we are still learning about how the virus that causes covid-19 can affect animals. a small number of pets cats and dogs have been confirmed to be infected with the virus that causes covid-19 mostly after close contact with a person with covid-19. some pets did not show any signs of illness but those pets that did get sick all had mild disease that could be taken care of at home. none of the pets have died. tests for covid-19 in animals are available for most types of pets but testing is onl.,"There is still much to learn about how the virus responsible for covid-19 can impact animals. A limited number of cats and dogs have been verified to have contracted the virus, primarily after interaction with a covid-19-positive individual. While some pets did not display any symptoms, those that did exhibited only mild illness that was manageable at home. There have been no fatalities among the pets. Testing for covid-19 in animals is possible for a variety of pets, but availability is limited.",we are still learning about how a a virus that causes a covid-19 can affect animals. the small a number of pets cats and dogs have been confirmed to be infected with a a virus that causes a covid-19 mostly after close a contact with the a person with a covid-19. some pets did not show any signs of a illness but those pets that get sick all have had mild a disease that can be taken a care of at a home. a none of a pets died. tests for a covid-19 in animals are available for most types of pets but a testing is onl.,"There is still much to learn about how a a virus responsible for a covid-19 can impact animals. A limited a number of cats and dogs have been verified to have contracted a a virus, primarily after a interaction with a covid-19-positive a individual. While some pets did not displayed any symptoms, those that exhibited only mild a illness that had been manageable at a home. There was no fatalities among a pets. Testing for a covid-19 in animals is possible for a variety of pets, but a availability is limited."
16cd8bf7-6438-44c5-8303-aaad6847318f,if you have lost a loved one during the covid-19 pandemic grieving the loss of a loved one while coping with the fear and anxiety related to the covid-19 pandemic can be especially overwhelming. social distancing stay at home orders and limits on the size of in person gatherings have changed the way friends and family can gather and grieve including holding traditional funeral services regardless of whether or not the persons death was due to covid-19. however these types of prevention.,"Coping with the loss of a loved one during the COVID-19 outbreak can be extremely challenging. The fear and anxiety related to the pandemic can make the grieving process even more overwhelming. Social distancing, stay-at-home orders, and restrictions on in-person gatherings have changed the way families and friends can come together to mourn and pay their respects. Traditional funeral services may not be possible due to these prevention measures, regardless of the cause of death.",if lost one loved a one during the a covid-19 a pandemic grieving a loss of one loved a one while coping with a fear and a anxiety related to the a covid-19 pandemic can be especially overwhelming. social a distancing a stay at a home orders and limits on a size of in a person gatherings changed a way friends and a family can gather and grieve including holding traditional a funeral services regardless of whether or not persons a death had been due to a covid-19. however these types of a prevention.,"Coping with the loses of a loved one during the COVID-19 outbreak can be real challenging. The fears and the anxiety related to the pandemic can make the grieving process even more overwhelming. Social distancing, stay-at-home orders, and restrictions on in-person gatherings already changed the way families and friends can come together to mourn and pay their respects. Traditional funeral services may not be possible due to these the prevention measures, regardless of the cause of deaths."
eb2888f1-1fa4-4abf-adb5-19a1c3a88eb9,some of the public health actions to reduce the spread of covid-19 include avoiding large and small gatherings in private places and public spaces working remotely and closing schools. while these measures are critical for slowing the spread of covid-19 they may contribute to an increase in violence and suicide due to lack of time alone or lack of physical and mental space reduced access to mental health or substance use services and supports in addition social distancing measures can.,"Efforts to reduce the transmission of COVID-19 involve measures like refraining from congregating in public or private spaces, working from home, and shutting down schools. Although these actions are necessary in slowing the spread of the virus, they may have unintended consequences such as an increase in suicide rates and violence. This could be due to reduced access to mental health and substance abuse services, lack of physical and mental space, and inadequate personal time. Moreover, social distancing measures may exacerbate these vulnerabilities.",some of a public health actions to reduce a spread of covid-19 include avoiding large and small gatherings in private places and public spaces working remotely and closing schools. while these measures are critical for slowing a spread of covid-19 may contribute to an increase in violence and suicide due to the lack of time alone or the lack of physical and mental space have reduced access to mental health or substance use services and supports in addition social distancing measures can.,"Efforts to reduce the transmission of COVID-19 involve measures like refraining from congregating in public or private spaces, working from home, and shutting down schools. Although these actions are necessary in slowing the spread of the virus, but they may have unintended consequences such as increase in suicide rates and violence. This can be due to reduced access to mental the health and substance abuse services, the lack of physical and mental space, and inadequate personal time. Moreover, social distancing measures may exacerbate these vulnerabilities."
4539f8a4-487a-410b-9bdb-2eb4b2b8b89e,stigma is discrimination against an identifiable group of people a place or a nation. stigma is associated with a lack of knowledge about how covid-19 spreads a need to blame someone fears about disease and death and gossip that spreads rumors and myths. no single person or group of people are more likely than others to spread covid-19. public health emergencies such as this pandemic are stressful times for people and communities. fear and anxiety about a disease can lead to social stigm.,"Social stigma is the discriminatory attitude towards a group of individuals, a location, or a nation. The stigma surrounding COVID-19 arises from the lack of awareness of how it spreads, a tendency to blame someone, fear of disease and death, and the spread of rumors and falsehoods. No particular person or community is more likely to spread the virus than others. Public health crises like this pandemic can be trying times for people and communities, and fear and anxiety about the disease can lead to social stigmatization.",the stigma is the discrimination against an identifiable group of people place or nation. stigma is associated with lack of the knowledge about how covid-19 spreads someone blame need for to fears about disease and death and gossip that spreads rumors and myths. no single person or group of people are more likely than others for to spread covid-19. public health emergencies such as this pandemic are stressful times for people and communities. fear and the anxiety about disease can lead to social stigm.,"Social a stigma is the discriminatory a attitude towards one a group of individuals, one a location, or one a nation. a stigma surrounding COVID-19 arises from a lack of a awareness of how spreads, one a tendency to blame a someone, a fear of a disease and a death, and a spread of rumors and falsehoods. No particular a person or a community is more likely to spread a virus than others. Public a health crises like this a pandemic can be trying times for people and communities, and a fear and a anxiety about a disease can lead to social a stigmatization."
62efa555-0e49-41a0-932e-e9026eda7078,the trainings listed below are for public health professionals or the general public who are interested in becoming a contact tracer case investigator or public health professional who already serve in these roles and are seeking to improve their knowledge. this site may be updated as new resources become available. overall training goal after completing the trainings listed below individuals will be better equipped to serve in local and state health departments as contact tracers and case.,"This website offers training courses for those who wish to become a contact tracer or case investigator in public health, as well as for professionals already working in these roles who want to enhance their skills. The courses will be updated periodically as new resources become available. By completing these trainings, participants will be better prepared to work as contact tracers and case investigators in state and local health departments.",a trainings listed below are for public a health professionals or a general a public who are interested in becoming the a contact a tracer a case a investigator or public a health a professional who already serve in these roles and are seeking to improve their a knowledge. this a site may be updated as new resources become available. overall a training a goal after completing a trainings listed below individuals would be better equipped to serve in local and a state a health departments as a contact tracers and a case.,"This website offers training courses for those who wish to become one contact tracer or case investigator in public health, as well as for professionals already working in these roles who want to enhance their skills. courses will be updated periodically as new resources become available. By completing these trainings, participants will be better prepared to work as contact tracers and case investigators in state and local the health departments."
aba9edfc-0ea2-415d-8596-6f366e2e0cbc,check icon visit parks that are close to your home. check icon check with the park or recreation area in advance to prepare safely and to find out if the bathroom facilities are open and what services are available. check icon stay at least 6 feet away from others you do nt live with social distancing and take other steps to prevent covid-19. check icon carefully consider use of playgrounds and help children follow guidelines. check icon play it safe around and in swimming pools hot tu.,"It is advised to visit nearby parks during the pandemic. Prior to the visit, it is necessary to check with the park authority to ensure safety and availability of facilities. Maintaining a distance of six feet from people not residing together is important. It is recommended to avoid using playgrounds or supervise children while using them. Safety measures should be taken while using swimming pools and hot tubs.",check a icon a visit parks that are close to your a home. check a icon a check with a a park or a recreation a area in a advance to prepare safely and to find out if a a bathroom facilities are open and what-all services are available. check a icon a stay at least 6 feet away from others do nt live with social a distancing and take other steps to prevent a covid-19. check a icon carefully consider a use of playgrounds and help children follow guidelines. check a icon play the thing safe around and in a swimming pools hot tu.,"It is advised to visit nearby parks during the pandemic. Prior to the visit, it is necessary to check with the park authority to ensure safety and availability of facilities. Maintaining the distance of six feet from people not residing together is important. It is recommended to avoid using playgrounds or supervise children while using them. Safety measures should be taken while using swimming pools and hot tubs."
d0161938-502e-480b-90b1-7529237c71ce,a successful notification of exposure allows for an exchange of information with the person contact exposed to covid-19 and offers an opportunity to answer questions and provide referrals for testing medical evaluation and other necessary support services. the goals of this interaction are to inform the person that they may have been exposed to covid-19 assess their medical condition and other risk factors and gather information for continued monitoring and support. developing trust and a w.,"When someone is exposed to COVID-19, a notification is sent to exchange information and answer questions. This interaction aims to inform, assess medical conditions and risks, and gather data for continued support. Building trust is vital.",one successful notification of the exposure allows for an exchange of information with a person contact exposed to covid-19 and offers an questions answer opportunity for to and provide referrals for testing medical evaluation and other necessary support services. a goals of this interaction are for to inform a person that they may have been exposed to covid-19 assess their medical condition and other the risk factors and gather information for continued monitoring and support. developing the trust and one w.,"When a someone is exposed to COVID-19, the a notification is sent to exchange a information and a answer questions. This a interaction aims to inform, assess medical conditions and risks, and gather data for continued a support. A Building a trust is vital."
1c436c5f-1bbd-4768-b6a9-3953fe53feaf,coronavirus disease 2019 covid-19 is a respiratory illness see current list of symptoms. it is caused by a virus sars cov-2. it is spread from person to person through respiratory droplets produced when an infected person coughs sneezes or talks. covid-19 can sometimes cause serious complications. people at a higher risk for severe illness include people of all ages who have serious underlying medical conditions.,"The COVID-19 virus causes a respiratory illness that spreads through respiratory droplets when an infected person talks, coughs, or sneezes. The virus, known as SARS-CoV-2, can result in severe complications, particularly in individuals with underlying medical conditions. The symptoms of COVID-19 can be found on the current list of symptoms and affect people of all ages.",coronavirus disease 2019 covid-19 is the respiratory illness see current list of symptoms. it is caused by the virus sars cov-2. it is spread from person to person through respiratory droplets produced when an infected person coughs sneezes or talks. covid-19 can sometimes cause serious complications. people at the higher risk for severe illness include people of all ages who have serious underlying medical conditions.,"A COVID-19 a virus causes the respiratory a illness that spreads through respiratory droplets when an infected a person talks, coughs, or sneezes. A a virus, known as SARS-CoV-2, can result in severe complications, particularly in individuals with underlying medical conditions. A symptoms of COVID-19 can be found on a current a list of symptoms and affect people of all ages."
